NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L0,3801624.0604194775,-529030.1501214409,5077003.372914715,-6.735,12.449,0.0,0,1
L1,3801623.156214851,-529022.1391197687,5077004.907690008,1.427,13.304,0.0,2,3
L2,3801621.402771829,-529028.3702053287,5077005.549079371,-4.624,15.691,0.0,4,5
L3,3801620.494701803,-529021.5594553944,5077006.957990355,2.332,16.590999999999998,0.0,6,7
L4,3801646.257868807,-529007.2792624957,5076989.245047947,13.566,-15.892999999999999,0.0,8,9
L5,3801644.990124009,-529001.2500248001,5076990.838798535,19.78,-14.52,0.0,10,11
L6,3801652.798510613,-529008.4281808413,5076984.23601916,11.619,-23.98,0.0,12,13
L7,3801652.6979275024,-529003.502871749,5076984.839494415,16.582,-24.02,0.0,14,15
L8,3801619.65474614,-529033.3391716245,5077006.321810332,-9.407,18.029,0.0,16,17
L9,3801618.8934504706,-529040.3033025083,5077006.143442911,-16.315,19.208,0.0,18,19
L10,3801615.6818327536,-529041.0255180513,5077008.465011637,-16.652,23.221999999999998,0.0,20,21
L11,3801613.7180983396,-529037.8438229004,5077010.273200819,-13.216,25.555,0.0,22,23
L12,3801636.862167671,-529018.6154543279,5076995.047487771,3.309,-3.8409999999999997,0.0,24,25
L13,3801632.2987675644,-529018.2828461849,5076998.491973842,4.196,1.817,0.0,26,27
L14,3801632.073534833,-529014.9145690448,5076999.0215371745,7.609,1.984,0.0,28,29
L15,3801635.555589347,-529012.5789573228,5076996.671025263,9.535,-2.42,0.0,30,31
L16,3801629.7136383206,-529013.1316083346,5077000.975611778,9.687,4.856,0.0,32,33
L17,3801625.986494659,-529015.3634400802,5077003.520334982,7.895,9.561,0.0,34,35
L18,3801627.2314108717,-529006.781119357,5077003.511027649,16.371,7.726999999999999,0.0,36,37
L19,3801623.577451161,-529008.1744307632,5077006.091031865,15.413,12.313,0.0,38,39
L20,3801644.178274404,-529038.2576754929,5076987.475408072,-17.321,-12.272,0.0,40,41
L21,3801639.093291584,-529045.0324250113,5076990.547099899,-23.515,-5.728000000000001,0.0,42,43
L22,3801648.559862634,-529045.4020230422,5076983.436034027,-25.033,-17.476000000000003,0.0,44,45
L23,3801639.5744460723,-529050.6978104172,5076989.579953808,-29.268,-6.136,0.0,46,47
L24,3801629.0658411835,-529034.3083827608,5076999.187863539,-11.521,6.369999999999999,0.0,48,49
L25,3801625.829157557,-529035.5340266348,5077001.474153153,-12.361,10.432,0.0,50,51
L26,3801630.2336919876,-529038.21471358,5076997.89645809,-15.589,5.05,0.0,52,53
L27,3801629.7703422913,-529042.256893996,5076997.8089678455,-19.596,5.760999999999999,0.0,54,55
L28,3801650.2449894287,-529024.0962864995,5076984.462742875,-3.821,-20.283,0.0,56,57
L29,3801653.2855528444,-529022.8514937412,5076982.325006899,-2.938,-24.102,0.0,58,59
L30,3801651.961563638,-529032.7107772199,5076982.256400288,-12.688,-22.127000000000002,0.0,60,61
L31,3801656.592709577,-529030.6893727339,5076979.013825201,-11.217,-27.948,0.0,62,63
L32,3801628.1223553293,-529002.9838846978,5077003.252834085,20.08,6.492999999999999,0.0,64,65
L33,3801632.471847731,-528998.9350913557,5077000.438130136,23.623,0.954,0.0,66,67
L34,3801630.841910967,-528989.4138045723,5077002.677028109,33.391,2.66,0.0,68,69
L35,3801626.240890222,-528992.8213812988,5077005.748404504,30.523,8.49,0.0,70,71
L36,3801639.678476319,-529021.8018705442,5076992.6019290835,-0.235,-7.2330000000000005,0.0,72,73
L37,3801640.5372687764,-529016.1252635132,5076992.569354084,5.367,-8.49,0.0,74,75
L38,3801642.8550988515,-529022.1702448049,5076990.1895131385,-0.99,-11.167,0.0,76,77
L39,3801644.026540263,-529018.6854213631,5076989.688279063,2.371,-12.738999999999999,0.0,78,79
L40,3801613.448537932,-529024.0827411198,5077011.950718751,0.649,25.429,0.0,80,81
L41,3801615.8613112206,-529014.331038811,5077011.194475974,10.159,22.105,0.0,82,83
L42,3801609.1671177046,-529018.5041528655,5077015.747308527,6.775,30.561,0.0,84,85
L43,3801612.7586999116,-529008.7357724707,5077014.112298218,16.159,25.772,0.0,86,87
L44,3801637.476522954,-529027.8780769372,5076993.594964455,-6.076,-4.2940000000000005,0.0,88,89
L45,3801640.587829189,-529028.6900640154,5076991.183752416,-7.269,-8.132,0.0,90,91
L46,3801635.787048296,-529032.3017762424,5076994.38244959,-10.318,-2.047,0.0,92,93
L47,3801639.95299008,-529032.8205559698,5076991.214889543,-11.344,-7.205,0.0,94,95
L48,3801640.872661582,-529006.052812086,5076993.399297403,15.451,-9.244,0.0,96,97
L49,3801647.4452052154,-529032.600321321,5076985.641916363,-12.03,-16.52,0.0,98,99
L50,3801645.3740788316,-528996.2931970066,5076991.083710599,24.716,-15.163,0.0,100,101
L51,3801635.0320703574,-529000.1467496689,5076998.395698194,22.095,-2.186,0.0,102,103
L52,3801631.7644643122,-529047.2525141707,5076995.783498656,-24.859,3.451,0.0,104,105
L53,3801653.5324146794,-529040.4882514522,5076980.248698475,-20.696,-23.818,0.0,106,107
L54,3801637.658797412,-528993.1359398637,5076997.185617264,28.824,-5.684,0.0,108,109
L55,3801637.854281561,-529015.3760778479,5076994.653880035,6.445,-5.182,0.0,110,111
L56,3801610.822755677,-529030.3522757463,5077013.239610957,-5.335,28.901,0.0,112,113
L57,3801635.5690706214,-529041.9521934493,5076993.51007039,-19.992,-1.4529999999999998,0.0,114,115
L58,3801623.379372388,-529038.2098590777,5077003.017076146,-14.754,13.565000000000001,0.0,116,117
L59,3801658.688045175,-529021.1360873628,5076978.473420397,-1.868,-30.871000000000002,0.0,118,119
L60,3801645.948360583,-529029.0907795749,5076987.136512588,-8.321,-14.777999999999999,0.0,120,121
L61,3801637.293247128,-529038.6365525298,5076992.577801295,-16.868,-3.706,0.0,122,123
L62,3801619.0410770294,-529015.7714798962,5077008.664710791,8.326,18.203,0.0,124,125
L63,3801628.9075750494,-529019.8086478977,5077000.861481694,3.073,6.0809999999999995,0.0,126,127
L64,3801642.8867329224,-529011.2509672388,5076991.337200256,9.982,-11.572,0.0,128,129
L65,3801628.6606646073,-529026.7436330118,5077000.302000953,-3.868,6.619999999999999,0.0,130,131
L66,3801652.4316802244,-529017.2747885893,5076983.561056331,2.771,-23.228,0.0,132,133
L67,3801646.82916782,-529020.8269064376,5076987.365030378,-0.121,-16.149,0.0,134,135
L68,3801625.5483684004,-529044.1384682457,5077000.760895827,-20.976,11.069,0.0,136,137
L69,3801622.8637353466,-529044.6121483854,5077002.715473657,-21.127,14.42,0.0,138,139
L70,3801632.989433533,-529026.9125051505,5076997.050345714,-4.562,1.248,0.0,140,141
L71,3801617.225129998,-529024.3718640828,5077009.098633851,-0.099,20.747,0.0,142,143
L72,3801643.2889520545,-529026.9469614587,5076989.353028585,-5.844,-11.546,0.0,144,145
L73,3801634.583043351,-529005.2576602624,5076998.182865744,17.012,-1.4569999999999999,0.0,146,147
L74,3801645.314081931,-529012.8785635096,5076989.349405455,8.052,-14.533,0.0,148,149
L75,3801640.2797297854,-528994.4497167781,5076995.086881522,27.186,-8.895999999999999,0.0,150,151
L76,3801630.091682903,-529030.8570194659,5076998.791801457,-8.176,4.9799999999999995,0.0,152,153
L77,3801643.247825172,-529033.1846358575,5076988.714630846,-12.109,-11.286,0.0,154,155
L78,3801616.8427475425,-529032.0742813692,5077008.558026228,-7.795,21.48,0.0,156,157
L79,3801619.0118177617,-529006.7139346995,5077009.658175388,17.434,17.936,0.0,158,159
L80,3801622.843729028,-529012.9067811779,5077006.131471751,10.745,13.383000000000001,0.0,160,161
L81,3801641.362598874,-529001.7427988423,5076993.495657609,19.724,-9.997,0.0,162,163
L82,3801629.8209644263,-529008.692600873,5077001.371615393,14.136,4.574,0.0,164,165
L83,3801630.16127925,-529023.5255621256,5076999.526263583,-0.815,4.648,0.0,166,167
L84,3801648.185065934,-529040.3077985601,5076984.26246331,-19.867,-17.181,0.0,168,169
L85,3801637.588545676,-529024.3298869116,5076993.891901235,-2.523,-4.5520000000000005,0.0,170,171
L86,3801658.2540483866,-529010.3823445776,5076979.951171356,8.994,-30.692,0.0,172,173
L87,3801651.2431713324,-529014.3041136618,5076984.767524768,5.901,-21.851000000000003,0.0,174,175
L88,3801626.370404906,-529018.7354804414,5077002.871837701,4.459,9.197000000000001,0.0,176,177
L89,3801617.588968538,-528999.3205468256,5077011.514120386,25.038,19.456,0.0,178,179
L90,3801625.8831722927,-529027.2961509313,5077002.317486599,-4.087,10.089,0.0,180,181
L91,3801633.6222211765,-529049.3695582533,5076994.168679228,-27.212,1.214,0.0,182,183
L92,3801624.322130732,-529001.8480093864,5077006.2134038415,21.682,11.176,0.0,184,185
L93,3801632.9233061285,-529030.3715982911,5076996.728683139,-8.031,1.446,0.0,186,187
L94,3801634.63390296,-529035.569508233,5076994.893304237,-13.463,-0.5049999999999999,0.0,188,189
L95,3801635.899248073,-529009.1729775316,5076996.7796776565,12.917,-2.961,0.0,190,191
H0,3801681.2713465034,-528961.2634374993,5076968.379507404,24.531893880573303,12.935160792914209,0.0,0,1
H1,3801685.368407111,-528960.2337331506,5076965.433457789,25.070893880573305,7.813160792914207,0.0,2,3
H2,3801689.4654934374,-528959.2050202669,5076962.487280361,25.6088938805733,2.6911607929142076,0.0,4,5
H3,3801693.561777163,-528958.1764040845,5076959.541691559,26.1468938805733,-2.4298392070857924,0.0,6,7
H4,3801697.6588377706,-528957.146699736,5076956.595641945,26.685893880573303,-7.551839207085792,0.0,8,9
H5,3801677.738595455,-528967.3183109143,5076970.353758391,18.871893880573303,17.518160792914205,0.0,10,11
H6,3801681.8348534615,-528966.2887032672,5076967.408297402,19.410893880573305,12.397160792914208,0.0,12,13
H7,3801685.931939788,-528965.2599903834,5076964.462119974,19.948893880573305,7.275160792914208,0.0,14,15
H8,3801690.029026115,-528964.2312774997,5076961.515942547,20.4868938805733,2.1531607929142074,0.0,16,17
H9,3801694.126086722,-528963.2015731512,5076958.569892932,21.025893880573303,-2.9688392070857925,0.0,18,19
H10,3801698.2223704476,-528962.1729569688,5076955.62430413,21.563893880573303,-8.089839207085792,0.0,20,21
H11,3801702.3194567743,-528961.1442440851,5076952.678126702,22.101893880573304,-13.211839207085792,0.0,22,23
H12,3801674.2050418057,-528973.3732810309,5076972.328598003,13.211893880573303,22.102160792914205,0.0,24,25
H13,3801678.302102413,-528972.3435766824,5076969.382548388,13.750893880573303,16.980160792914205,0.0,26,27
H14,3801682.3991887397,-528971.3148637986,5076966.43637096,14.288893880573303,11.858160792914209,0.0,28,29
H15,3801686.495472465,-528970.2862476163,5076963.490782158,14.826893880573303,6.737160792914207,0.0,30,31
H16,3801690.592558792,-528969.2575347325,5076960.544604731,15.364893880573304,1.6151607929142078,0.0,32,33
H17,3801694.689619399,-528968.2278303839,5076957.598555116,15.903893880573303,-3.5068392070857923,0.0,34,35
H18,3801698.786705726,-528967.1991175001,5076954.652377688,16.441893880573303,-8.628839207085791,0.0,36,37
H19,3801702.8837920525,-528966.1704046164,5076951.706200261,16.979893880573304,-13.750839207085791,0.0,38,39
H20,3801706.9800500586,-528965.1407969693,5076948.7607392715,17.518893880573305,-18.87183920708579,0.0,40,41
H21,3801670.6722907573,-528979.428154446,5076974.302848989,7.551893880573303,26.685160792914207,0.0,42,43
H22,3801674.7685744828,-528978.3995382637,5076971.357260187,8.089893880573303,21.56416079291421,0.0,44,45
H23,3801678.86563509,-528977.3698339151,5076968.411210572,8.628893880573303,16.442160792914205,0.0,46,47
H24,3801682.9627214167,-528976.3411210313,5076965.465033145,9.166893880573303,11.320160792914209,0.0,48,49
H25,3801687.0598077434,-528975.3124081476,5076962.518855717,9.704893880573303,6.198160792914208,0.0,50,51
H26,3801691.1568683507,-528974.282703799,5076959.572806102,10.243893880573303,1.0761607929142076,0.0,52,53
H27,3801695.253152076,-528973.2540876167,5076956.6272173,10.781893880573303,-4.044839207085793,0.0,54,55
H28,3801699.350238403,-528972.2253747329,5076953.681039873,11.319893880573304,-9.166839207085792,0.0,56,57
H29,3801703.4472990106,-528971.1956703843,5076950.734990258,11.858893880573303,-14.288839207085791,0.0,58,59
H30,3801707.544385337,-528970.1669575006,5076947.78881283,12.396893880573304,-19.410839207085793,0.0,60,61
H31,3801711.6406690623,-528969.1383413182,5076944.843224028,12.934893880573304,-24.531839207085792,0.0,62,63
H32,3801671.2358234343,-528984.4544116787,5076973.331511173,2.429893880573304,26.147160792914207,0.0,64,65
H33,3801675.332884042,-528983.4247073302,5076970.385461559,2.9688938805733036,21.025160792914207,0.0,66,67
H34,3801679.4291677675,-528982.3960911479,5076967.439872757,3.506893880573304,15.904160792914208,0.0,68,69
H35,3801683.5262540937,-528981.3673782641,5076964.493695329,4.044893880573303,10.782160792914208,0.0,70,71
H36,3801687.6233147015,-528980.3376739156,5076961.547645714,4.583893880573304,5.6601607929142075,0.0,72,73
H37,3801691.720401028,-528979.3089610318,5076958.6014682865,5.121893880573303,0.5381607929142076,0.0,74,75
H38,3801695.8174873544,-528978.280248148,5076955.655290859,5.6598938805733034,-4.583839207085792,0.0,76,77
H39,3801699.913745361,-528977.2506405009,5076952.70982987,6.198893880573303,-9.704839207085792,0.0,78,79
H40,3801704.0108316876,-528976.2219276171,5076949.763652442,6.736893880573303,-14.826839207085792,0.0,80,81
H41,3801708.1079180143,-528975.1932147334,5076946.817475014,7.274893880573304,-19.948839207085793,0.0,82,83
H42,3801712.2049786216,-528974.1635103849,5076943.8714254,7.813893880573303,-25.070839207085793,0.0,84,85
H43,3801671.7993561113,-528989.4806689116,5076972.360173359,-2.6921061194266964,25.609160792914206,0.0,86,87
H44,3801675.896416719,-528988.450964563,5076969.414123744,-2.1531061194266967,20.487160792914207,0.0,88,89
H45,3801679.9935030458,-528987.4222516792,5076966.467946316,-1.6151061194266965,15.365160792914208,0.0,90,91
H46,3801684.090589372,-528986.3935387954,5076963.521768888,-1.0771061194266962,10.243160792914209,0.0,92,93
H47,3801688.1868473785,-528985.3639311483,5076960.576307899,-0.5381061194266965,5.122160792914207,0.0,94,95
H48,3801696.381020032,-528983.3065053808,5076954.683953044,0.5378938805733036,-5.1218392070857925,0.0,96,97
H49,3801700.478080639,-528982.2768010322,5076951.737903429,1.0768938805733037,-10.243839207085792,0.0,98,99
H50,3801704.575166966,-528981.2480881484,5076948.791726002,1.6148938805733037,-15.365839207085791,0.0,100,101
H51,3801708.6714506913,-528980.2194719661,5076945.8461372,2.1528938805733038,-20.486839207085794,0.0,102,103
H52,3801712.7685112986,-528979.1897676176,5076942.900087585,2.6918938805733035,-25.608839207085794,0.0,104,105
H53,3801672.3636656706,-528994.5058379781,5076971.38837473,-7.813106119426697,25.070160792914205,0.0,106,107
H54,3801676.459949396,-528993.4772217958,5076968.442785928,-7.275106119426697,19.949160792914206,0.0,108,109
H55,3801680.557035723,-528992.448508912,5076965.4966085,-6.737106119426697,14.827160792914208,0.0,110,111
H56,3801684.65409633,-528991.4188045635,5076962.550558886,-6.198106119426697,9.705160792914208,0.0,112,113
H57,3801688.7511826567,-528990.3900916796,5076959.604381458,-5.660106119426697,4.5831607929142075,0.0,114,115
H58,3801692.847466382,-528989.3614754974,5076956.658792656,-5.122106119426697,-0.5378392070857925,0.0,116,117
H59,3801696.9445269895,-528988.3317711488,5076953.712743041,-4.583106119426697,-5.659839207085793,0.0,118,119
H60,3801701.041613316,-528987.303058265,5076950.766565613,-4.045106119426697,-10.781839207085792,0.0,120,121
H61,3801705.138699643,-528986.2743453813,5076947.820388186,-3.507106119426696,-15.90383920708579,0.0,122,123
H62,3801709.23576025,-528985.2446410327,5076944.874338571,-2.968106119426696,-21.025839207085795,0.0,124,125
H63,3801713.3320439756,-528984.2160248504,5076941.928749769,-2.430106119426696,-26.146839207085794,0.0,126,127
H64,3801672.9271983476,-528999.5320952109,5076970.417036914,-12.935106119426697,24.53216079291421,0.0,128,129
H65,3801677.0242846743,-528998.5033823272,5076967.470859487,-12.397106119426697,19.410160792914205,0.0,130,131
H66,3801681.120542681,-528997.4737746799,5076964.5253984975,-11.858106119426697,14.289160792914208,0.0,132,133
H67,3801685.217629007,-528996.4450617962,5076961.57922107,-11.320106119426697,9.167160792914208,0.0,134,135
H68,3801689.3147153337,-528995.4163489124,5076958.633043642,-10.782106119426697,4.045160792914207,0.0,136,137
H69,3801693.4117759415,-528994.3866445639,5076955.686994027,-10.243106119426697,-1.0768392070857924,0.0,138,139
H70,3801697.5088622677,-528993.3579316802,5076952.7408166,-9.705106119426697,-6.1988392070857925,0.0,140,141
H71,3801701.605145993,-528992.3293154978,5076949.795227798,-9.167106119426697,-11.319839207085792,0.0,142,143
H72,3801705.70223232,-528991.3006026141,5076946.84905037,-8.629106119426696,-16.441839207085792,0.0,144,145
H73,3801709.7992929276,-528990.2708982654,5076943.903000755,-8.090106119426697,-21.563839207085792,0.0,146,147
H74,3801713.896379254,-528989.2421853817,5076940.956823328,-7.552106119426696,-26.68583920708579,0.0,148,149
H75,3801677.5878173513,-529003.5296395599,5076966.499521671,-17.519106119426695,18.872160792914208,0.0,150,151
H76,3801681.684877959,-529002.4999352113,5076963.553472056,-16.980106119426697,13.750160792914208,0.0,152,153
H77,3801685.7819642853,-529001.4712223276,5076960.607294628,-16.442106119426697,8.628160792914208,0.0,154,155
H78,3801689.8782480108,-529000.4426061452,5076957.661705826,-15.904106119426697,3.5071607929142075,0.0,156,157
H79,3801693.9753086185,-528999.4129017966,5076954.715656212,-15.365106119426695,-1.6148392070857922,0.0,158,159
H80,3801698.072394945,-528998.3841889129,5076951.769478784,-14.827106119426698,-6.736839207085793,0.0,160,161
H81,3801702.1694812714,-528997.3554760291,5076948.823301356,-14.289106119426698,-11.858839207085792,0.0,162,163
H82,3801706.265739278,-528996.325868382,5076945.877840367,-13.750106119426697,-16.979839207085792,0.0,164,165
H83,3801710.3628256046,-528995.2971554983,5076942.9316629395,-13.212106119426696,-22.101839207085792,0.0,166,167
H84,3801682.248410636,-529007.5261924441,5076962.582134241,-22.102106119426697,13.212160792914208,0.0,168,169
H85,3801686.345496963,-529006.4974795603,5076959.635956814,-21.564106119426697,8.090160792914208,0.0,170,171
H86,3801690.44255757,-529005.4677752118,5076956.689907199,-21.025106119426695,2.9681607929142073,0.0,172,173
H87,3801694.5388412955,-529004.4391590294,5076953.744318397,-20.487106119426695,-2.1528392070857927,0.0,174,175
H88,3801698.635927622,-529003.4104461457,5076950.798140969,-19.9491061194267,-7.274839207085792,0.0,176,177
H89,3801702.7329882295,-529002.3807417972,5076947.852091354,-19.410106119426697,-12.396839207085792,0.0,178,179
H90,3801706.830074556,-529001.3520289133,5076944.905913927,-18.872106119426697,-17.518839207085794,0.0,180,181
H91,3801686.9090039204,-529011.5227453284,5076958.664746811,-26.685106119426695,7.552160792914208,0.0,182,183
H92,3801691.006090247,-529010.4940324445,5076955.718569383,-26.147106119426695,2.4301607929142075,0.0,184,185
H93,3801695.1031765738,-529009.4653195607,5076952.772391955,-25.6091061194267,-2.6918392070857924,0.0,186,187
H94,3801699.2002629004,-529008.436606677,5076949.826214528,-25.071106119426698,-7.813839207085793,0.0,188,189
H95,3801703.2965209065,-529007.4069990299,5076946.880753539,-24.532106119426697,-12.934839207085792,0.0,190,191
CLBA,3801633.868807419,-529022.2680597045,5076996.8916760385,0.0,0.0,0.0,-1,-1
CHBA,3801692.2840600284,-528984.335097502,5076957.630049388,0.0,0.0,0.0,-1,-1
